TIME 	 FLUX
1064.45813750136585440	2070831.75000000000000000
1064.45881857645144919	2071276.25000000000000000
1064.45949955153628252	2070915.25000000000000000
1064.46018062662187731	2070942.50000000000000000
1064.46086180170823354	2070655.37500000000000000
1064.46154287680110428	2070488.75000000000000000
1064.46222405188746052	2070772.25000000000000000
1064.46290512697305530	2070928.50000000000000000
1064.46358620205865009	2071134.37500000000000000
1064.46426737714500632	2071394.25000000000000000
1064.46494835223711561	2070888.62500000000000000
1064.46562942732271040	2070909.87500000000000000
1064.46631060240906663	2071037.75000000000000000
1064.46699167749466142	2070861.75000000000000000
1064.46767275258025620	2070974.12500000000000000
1064.46835392766661244	2071093.00000000000000000
1064.46903500275948318	2070818.50000000000000000
1064.46971607784507796	2071133.87500000000000000
1064.47039715294522466	2071138.12500000000000000
1064.47107822803081945	2071017.25000000000000000
1064.47175930313096615	2071001.37500000000000000
1064.47244047822459834	2070994.87500000000000000
1064.47312155331019312	2071107.75000000000000000
1064.47380262839578791	2070873.87500000000000000
1064.47448380348214414	2070936.62500000000000000
1064.47516487856773892	2070664.50000000000000000
1064.47584585367440013	2070722.00000000000000000
1064.47652702876075637	2070798.50000000000000000
1064.47720810384635115	2070944.00000000000000000
1064.47788917894649785	2071398.00000000000000000
1064.47857025403209263	2070688.87500000000000000
1064.47925142911844887	2071316.87500000000000000
1064.47993250421131961	2071405.75000000000000000
1064.48061357929691439	2071094.75000000000000000
1064.48129475438327063	2070936.12500000000000000
1064.48197572948265588	2071208.50000000000000000
1064.48265680458280258	2071199.25000000000000000
1064.48333797967643477	2070958.62500000000000000
1064.48401905476202955	2070963.62500000000000000
1064.48470012984762434	2070928.00000000000000000
1064.48538130493398057	2071278.00000000000000000
1064.48606238003412727	2070854.25000000000000000
1064.48674345512699801	2070716.87500000000000000
1064.48742443022638327	2071048.87500000000000000
1064.48810560531273950	2070887.25000000000000000
1064.48878668039833428	2070975.00000000000000000
1064.48946775549848098	2070932.00000000000000000
1064.49014893058483722	2070631.37500000000000000
1064.49083000569225987	2071091.62500000000000000
1064.49151118077861611	2070785.25000000000000000
1064.49219225586421089	2070891.25000000000000000
1064.49287323096359614	2070789.87500000000000000
1064.49355430607101880	2070833.00000000000000000
1064.49423548115737503	2071143.62500000000000000
1064.49491655624296982	2070970.25000000000000000
1064.49559773132932605	2071233.37500000000000000
1064.49627880642947275	2070886.12500000000000000
1064.49695988152961945	2071053.75000000000000000
1064.49764105661597569	2071026.87500000000000000
1064.49832203172263689	2071045.75000000000000000
1064.49900310682278359	2070760.00000000000000000
1064.49968418190837838	2071078.62500000000000000
1064.50036535699473461	2070820.50000000000000000
1064.50104643211670918	2071086.00000000000000000
1064.50172760720306542	2071250.87500000000000000
1064.50240868228866020	2071090.37500000000000000
1064.50308975738880690	2070882.37500000000000000
1064.50377093248971505	2071322.62500000000000000
1064.50445190757454839	2071319.00000000000000000
1064.50513298268197104	2071141.12500000000000000
1064.50581405778211774	2071152.87500000000000000
1064.50649523286847398	2070887.50000000000000000
1064.50717630795406876	2070964.37500000000000000
1064.50785738306876738	2070820.12500000000000000
1064.50853855816239957	2070823.62500000000000000
1064.50921963324799435	2071035.50000000000000000
1064.50990060836193152	2071213.87500000000000000
1064.51058178344828775	2070980.00000000000000000
1064.51126285853388254	2070970.75000000000000000
1064.51194393365585711	2070908.37500000000000000
1064.51262500874145189	2071185.00000000000000000
1064.51330618382780813	2071255.87500000000000000
1064.51398725894250674	2070866.87500000000000000
1064.51466833402810153	2070976.12500000000000000
1064.51534940913552418	2071369.37500000000000000
1064.51603048423567088	2071068.87500000000000000
1064.51671155932126567	2071390.25000000000000000
1064.51739273442217382	2070991.50000000000000000
1064.51807380952232052	2071430.87500000000000000
1064.51875488462246722	2070995.12500000000000000
