Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00      8.40     0.00        8     0.00     0.00  std::vector<float, std::allocator<float> >::max_size() const
  0.00      8.40     0.00        8     0.00     0.00  std::char_traits<char>::length(char const*)
  0.00      8.40     0.00        8     0.00     0.00  std::allocator_traits<std::allocator<float> >::max_size(std::allocator<float> const&)
  0.00      8.40     0.00        8     0.00     0.00  std::vector<float, std::allocator<float> >::_S_max_size(std::allocator<float> const&)
  0.00      8.40     0.00        8     0.00     0.00  void std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_construct<char const*>(char const*, char const*, std::forward_iterator_tag)
  0.00      8.40     0.00        8     0.00     0.00  std::iterator_traits<char const*>::difference_type std::__distance<char const*>(char const*, char const*, std::random_access_iterator_tag)
  0.00      8.40     0.00        8     0.00     0.00  std::iterator_traits<char const*>::iterator_category std::__iterator_category<char const*>(char const* const&)
  0.00      8.40     0.00        8     0.00     0.00  std::iterator_traits<char const*>::difference_type std::distance<char const*>(char const*, char const*)
  0.00      8.40     0.00        7     0.00     0.00  CCfits::FITSUtil::auto_array_ptr<double>::auto_array_ptr(double*)
  0.00      8.40     0.00        7     0.00     0.00  CCfits::FITSUtil::auto_array_ptr<double>::~auto_array_ptr()
  0.00      8.40     0.00        7     0.00     0.00  CCfits::FITSUtil::auto_array_ptr<long>::auto_array_ptr(long*)
  0.00      8.40     0.00        7     0.00     0.00  CCfits::FITSUtil::auto_array_ptr<long>::~auto_array_ptr()
  0.00      8.40     0.00        7     0.00     0.00  CCfits::FITSUtil::auto_array_ptr<double>::get() const
  0.00      8.40     0.00        7     0.00     0.00  CCfits::FITSUtil::auto_array_ptr<long>::get() const
  0.00      8.40     0.00        7     0.00     0.00  __gnu_cxx::__normal_iterator<long*, std::vector<long, std::allocator<long> > >::operator-(long) const
  0.00      8.40     0.00        7     0.00     0.00  long* std::__copy_move<false, true, std::random_access_iterator_tag>::__copy_m<long>(long const*, long const*, long*)
  0.00      8.40     0.00        7     0.00     0.00  std::vector<long, std::allocator<long> >::begin()
  0.00      8.40     0.00        7     0.00     0.00  __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > > std::__niter_wrap<__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, double*>(__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, double*)
  0.00      8.40     0.00        7     0.00     0.00  __gnu_cxx::__normal_iterator<long*, std::vector<long, std::allocator<long> > > std::__niter_wrap<__gnu_cxx::__normal_iterator<long*, std::vector<long, std::allocator<long> > >, long*>(__gnu_cxx::__normal_iterator<long*, std::vector<long, std::allocator<long> > >, long*)
  0.00      8.40     0.00        7     0.00     0.00  __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > > std::__copy_move_a<false, double*, __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > > >(double*, double*, __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >)
  0.00      8.40     0.00        7     0.00     0.00  __gnu_cxx::__normal_iterator<long*, std::vector<long, std::allocator<long> > > std::__copy_move_a<false, long*, __gnu_cxx::__normal_iterator<long*, std::vector<long, std::allocator<long> > > >(long*, long*, __gnu_cxx::__normal_iterator<long*, std::vector<long, std::allocator<long> > >)
  0.00      8.40     0.00        7     0.00     0.00  double* std::__copy_move_a1<false, double*, double*>(double*, double*, double*)
  0.00      8.40     0.00        7     0.00     0.00  long* std::__copy_move_a1<false, long*, long*>(long*, long*, long*)
  0.00      8.40     0.00        7     0.00     0.00  double* std::__copy_move_a2<false, double*, double*>(double*, double*, double*)
  0.00      8.40     0.00        7     0.00     0.00  long* std::__copy_move_a2<false, long*, long*>(long*, long*, long*)
  0.00      8.40     0.00        7     0.00     0.00  __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > > std::copy<double*, __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > > >(double*, double*, __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >)
  0.00      8.40     0.00        7     0.00     0.00  __gnu_cxx::__normal_iterator<long*, std::vector<long, std::allocator<long> > > std::copy<long*, __gnu_cxx::__normal_iterator<long*, std::vector<long, std::allocator<long> > > >(long*, long*, __gnu_cxx::__normal_iterator<long*, std::vector<long, std::allocator<long> > >)
  0.00      8.40     0.00        6     0.00     0.00  __gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >::__normal_iterator(double const* const&)
  0.00      8.40     0.00        6     0.00     0.00  __gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >::base() const
  0.00      8.40     0.00        6     0.00     0.00  __gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > > std::__miter_base<__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > > >(__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >)
  0.00      8.40     0.00        6     0.00     0.00  double const* std::__niter_base<double const*, std::vector<double, std::allocator<double> > >(__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >)
  0.00      8.40     0.00        6     0.00     0.00  std::__size_to_integer(unsigned long)
  0.00      8.40     0.00        6     0.00     0.00  std::__valarray_release_memory(void*)
  0.00      8.40     0.00        6     0.00     0.00  void std::__valarray_destroy_elements<double>(double*, double*)
  0.00      8.40     0.00        5     0.00     0.00  __gnu_cxx::new_allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >::~new_allocator()
  0.00      8.40     0.00        5     0.00     0.00  __gnu_cxx::new_allocator<long>::_M_max_size() const
  0.00      8.40     0.00        5     0.00     0.00  std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >::~allocator()
  0.00      8.40     0.00        5     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_Vector_impl::_Vector_impl(std::allocator<double> const&)
  0.00      8.40     0.00        5     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_M_create_storage(unsigned long)
  0.00      8.40     0.00        5     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_Vector_base(unsigned long, std::allocator<double> const&)
  0.00      8.40     0.00        5     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::basic_string<std::allocator<char> >(char const*, std::allocator<char> const&)
  0.00      8.40     0.00        4     0.00     0.00  __gnu_cxx::__ops::__iter_less_iter()
  0.00      8.40     0.00        4     0.00     0.00  bool __gnu_cxx::operator==<double*, std::vector<double, std::allocator<double> > >(__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > > const&, __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > > const&)
  0.00      8.40     0.00        4     0.00     0.00  __gnu_cxx::new_allocator<long>::max_size() const
  0.00      8.40     0.00        4     0.00     0.00  std::_Vector_base<long, std::allocator<long> >::_M_get_Tp_allocator() const
  0.00      8.40     0.00        4     0.00     0.00  std::vector<long, std::allocator<long> >::max_size() const
  0.00      8.40     0.00        4     0.00     0.00  std::_Vector_base<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::_M_get_Tp_allocator()
  0.00      8.40     0.00        4     0.00     0.00  std::_Vector_base<float, std::allocator<float> >::_M_get_Tp_allocator()
  0.00      8.40     0.00        4     0.00     0.00  std::allocator_traits<std::allocator<long> >::max_size(std::allocator<long> const&)
  0.00      8.40     0.00        4     0.00     0.00  std::back_insert_iterator<std::vector<double, std::allocator<double> > >::back_insert_iterator(std::vector<double, std::allocator<double> >&)
